S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
50,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #1 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=iSM6LBYazCs
51,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 16 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=M8LtoymHiJM
52,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 15 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=DejI1kPef6w
53,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 14 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=kD7imWzF6Nk
54,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 13 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=49VHv9ejsUQ
55,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 12 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=0vZCcrmewyw
56,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 11 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=YfulrxV0ifc
57,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 10 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=kk8D8qMuezo
58,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education #6 By Monu Sir,https://www.youtube.com/watch?v=VnCXXzaee2k
59,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For All Teaching Exams 2024 | Complete Physical Education #5 By Monu Sir,https://www.youtube.com/watch?v=8MJWvZ5i2HY
