"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13141,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 15: Living Beyond a Crisis","How To Manage Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=VDkeOeR7yik"
13142,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 16: Thriving in Crisis and Change","Your Job vs Your Work | Dr. Myles Munroe","https://www.youtube.com/watch?v=n9jwTX1g3_Q"
13143,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 16: Thriving in Crisis and Change","Why Change Is Good | Dr. Myles Munroe","https://www.youtube.com/watch?v=Vo7C_SYXdkE"
13144,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 17: Recognizing When It's Time for Change","Crisis Will Not Last Forever | Dr. Myles Munroe","https://www.youtube.com/watch?v=a_tN2O2MQnw"
13145,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 18: The Impact of Crisis on Traditions","Change Happens For Improvement & Advancement | Dr. Myles Munroe","https://www.youtube.com/watch?v=nYM2fXflCiU"
13146,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 19: Managing Crisis Effectively","Employment vs Deployment | Dr. Myles Munroe","https://www.youtube.com/watch?v=rB3B43fbKYA"
13147,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 20: Work and Purpose in Crisis","Whatever You Expect Will Never Depress You | Dr. Myles Munroe","https://www.youtube.com/watch?v=q7_EBcLEVp4"
13148,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 20: Work and Purpose in Crisis","Why You Should Expect Crisis To Occur | Dr. Myles Munroe","https://www.youtube.com/watch?v=xEnrg1VM26s"
13149,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 21:  The Positive Aspects of Change","What To Do When Change Happens To You | Dr. Myles Munroe","https://www.youtube.com/watch?v=AUWWGptQjKo"
13150,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 22: The Temporary Nature of Crisis","Crisis Creates Opportunity | Dr. Myles Munroe","https://www.youtube.com/watch?v=QesfO0Fv454"
13151,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 23: Change as a Catalyst for Growth","How To Define A Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=G3cZugH3CJ4"
